order_item_id,order_id,product_id,quantity,discount,final_price
79,O10042,P1033,1,100,424
80,O10042,P1119,1,0,1062
81,O10042,P1201,1,0,1468
82,O10043,P1014,1,0,1091
83,O10043,P1089,1,50,4631
84,O10044,P1210,1,50,501
85,O10044,P1295,1,0,4209
86,O10044,P1053,2,0,2292
87,O10045,P1003,1,150,3717
88,O10046,P1227,2,0,4812
89,O10046,P1435,2,50,8534
90,O10047,P1230,2,0,6332
91,O10047,P1203,1,100,692
92,O10047,P1373,1,50,3393
93,O10048,P1025,2,50,7770
94,O10048,P1052,2,50,1504
95,O10048,P1483,2,0,1558
96,O10049,P1458,1,0,687
97,O10049,P1327,1,50,1397
98,O10050,P1301,1,0,2169
99,O10050,P1109,1,50,4638
100,O10051,P1184,2,0,3812
101,O10051,P1272,1,0,2463
102,O10051,P1285,1,100,2029
103,O10052,P1023,2,150,3508
104,O10053,P1344,1,0,1081
105,O10053,P1304,1,100,882
106,O10054,P1324,2,100,5594
107,O10055,P1179,1,0,4338
108,O10055,P1482,1,0,2240
109,O10055,P1175,2,0,2452
110,O10056,P1460,2,0,2060
111,O10056,P1149,1,50,2260
112,O10056,P1355,1,0,1398
113,O10057,P1186,1,0,3050
114,O10057,P1160,1,50,3277
115,O10057,P1083,2,50,1844
116,O10058,P1110,2,0,1530
117,O10058,P1213,1,0,2025
118,O10058,P1188,1,0,511
119,O10059,P1298,2,0,6552
120,O10060,P1166,1,0,3538
121,O10060,P1006,2,100,3120
122,O10060,P1142,2,0,6392
123,O10061,P1270,2,50,4002
124,O10061,P1062,1,50,1876
125,O10061,P1173,1,0,1168
126,O10062,P1095,2,0,4500
127,O10063,P1052,2,100,1404
128,O10063,P1351,2,50,6436
129,O10064,P1072,1,0,1787
130,O10064,P1479,1,50,4718
131,O10064,P1470,2,0,2358
132,O10065,P1197,1,50,3646
133,O10065,P1182,1,50,3054
134,O10066,P1011,1,100,4059
135,O10066,P1404,1,0,1660
136,O10067,P1002,2,100,8344
137,O10067,P1301,2,0,4338
138,O10068,P1321,1,0,3886
139,O10069,P1048,2,0,9516
140,O10069,P1246,2,200,7900
141,O10070,P1091,2,50,6050
142,O10070,P1041,1,0,927
143,O10070,P1182,2,150,5908
144,O10071,P1121,2,200,3434
145,O10072,P1112,2,0,7136
146,O10072,P1343,1,150,3672
147,O10073,P1380,1,50,3757
148,O10073,P1286,1,150,4307
149,O10073,P1070,1,0,2909
150,O10074,P1470,2,0,2358
151,O10074,P1292,2,0,5734
152,O10075,P1241,1,0,2567
153,O10076,P1095,1,0,2250
154,O10076,P1200,1,0,3096
155,O10077,P1068,2,200,8640
156,O10078,P1455,2,0,1740
157,O10078,P1394,1,0,1940
158,O10078,P1281,1,0,2419
159,O10079,P1100,2,0,2638
160,O10079,P1175,1,200,1026
161,O10079,P1245,1,50,1468
162,O10080,P1323,2,100,9528
163,O10080,P1460,1,0,1030
164,O10080,P1072,1,0,1787
165,O10081,P1456,1,0,2522
166,O10081,P1270,1,0,2051
167,O10082,P1218,1,100,1013
168,O10083,P1126,1,0,1869
169,O10083,P1486,2,0,7848
170,O10083,P1230,2,0,6332
171,O10084,P1422,1,0,3880
172,O10084,P1087,2,0,3110
173,O10084,P1488,1,0,2357
174,O10085,P1417,1,50,2678
175,O10085,P1024,2,100,8660
176,O10085,P1281,1,50,2369
177,O10086,P1086,2,50,8218
178,O10086,P1077,1,0,1422
179,O10086,P1091,1,0,3075
180,O10087,P1233,2,50,6138
181,O10087,P1352,1,50,2909
182,O10087,P1147,1,50,3177
183,O10088,P1260,1,50,2781
184,O10088,P1286,2,50,8814
185,O10088,P1448,1,100,1268
186,O10089,P1381,1,50,2532
187,O10090,P1011,2,0,8318
188,O10091,P1284,1,50,4461
189,O10091,P1076,1,0,4587
190,O10091,P1484,2,100,8490
191,O10092,P1015,2,0,6516
192,O10092,P1137,1,0,3507
193,O10093,P1307,1,0,2840
194,O10093,P1260,1,100,2731
195,O10094,P1218,2,100,2026
196,O10095,P1055,2,0,4008
197,O10095,P1200,1,100,2996
198,O10095,P1329,2,50,7970
199,O10096,P1119,1,0,1062
200,O10097,P1269,2,0,9124
201,O10097,P1298,2,0,6552
202,O10098,P1293,1,50,993
203,O10098,P1298,1,150,3126
204,O10098,P1269,2,0,9124
205,O10099,P1330,2,150,5322
206,O10100,P1070,2,0,5818
207,O10101,P1043,2,50,5976
208,O10101,P1321,1,0,3886
209,O10101,P1251,1,0,3546
210,O10102,P1407,1,50,3778
211,O10102,P1000,2,50,3902
212,O10103,P1148,1,150,486
213,O10103,P1002,2,0,8544
214,O10103,P1366,2,0,9016
215,O10104,P1145,1,0,4029
216,O10104,P1276,2,200,4098
217,O10104,P1381,1,0,2582
218,O10105,P1102,1,200,4708
219,O10105,P1381,2,0,5164
220,O10105,P1090,1,0,3544
221,O10106,P1368,1,50,4188
222,O10106,P1103,2,0,6730
223,O10106,P1250,1,100,1673
224,O10107,P1004,2,0,4146
225,O10107,P1094,1,100,4363
226,O10108,P1085,1,100,1161
227,O10108,P1203,2,50,1484
228,O10109,P1043,2,50,5976
229,O10109,P1077,2,150,2544
230,O10109,P1494,1,50,4026
231,O10110,P1329,2,100,7870
232,O10110,P1134,2,0,3218
233,O10110,P1431,2,50,5758
234,O10111,P1499,1,0,994
235,O10111,P1045,1,50,3399
236,O10111,P1032,1,100,2714
237,O10112,P1476,2,200,722
238,O10112,P1136,2,0,1968
239,O10113,P1429,2,0,5830
240,O10113,P1373,1,100,3343
241,O10114,P1460,1,0,1030
242,O10114,P1067,1,200,1989
243,O10115,P1157,2,0,5530
244,O10115,P1083,1,0,972
245,O10116,P1210,2,0,1102
246,O10116,P1146,1,100,436
247,O10116,P1407,1,0,3828
248,O10117,P1161,2,0,1360
249,O10117,P1202,1,0,2011
250,O10117,P1177,1,50,1057
251,O10118,P1390,1,50,2910
252,O10118,P1264,1,0,2120
253,O10119,P1421,1,0,1426
254,O10120,P1177,2,100,2014
255,O10120,P1364,1,0,1938
256,O10120,P1155,1,150,2250
257,O10121,P1044,1,50,2865
258,O10122,P1382,2,100,1116
259,O10122,P1294,2,0,3446
260,O10122,P1209,2,150,752
261,O10123,P1094,1,0,4463
262,O10123,P1316,1,0,4179
263,O10123,P1248,1,100,507
264,O10124,P1053,2,0,2292
265,O10124,P1193,2,50,4458
266,O10125,P1271,1,50,4144
267,O10125,P1067,2,50,4278
268,O10125,P1025,2,0,7870
269,O10126,P1434,2,50,7084
270,O10126,P1009,1,0,4818
271,O10126,P1204,1,150,1938
272,O10127,P1034,2,150,3078
273,O10127,P1109,2,0,9376
274,O10127,P1208,2,0,5636
275,O10128,P1458,1,150,537
276,O10129,P1236,2,50,3016
277,O10129,P1353,2,100,3330
278,O10130,P1051,2,0,1484
279,O10130,P1310,2,150,5044
280,O10130,P1254,1,0,2668
281,O10131,P1365,2,100,2914
282,O10131,P1262,1,0,4817
283,O10131,P1081,1,50,4853
284,O10132,P1388,2,0,5038
285,O10132,P1308,1,50,1094
286,O10133,P1088,1,0,1958
287,O10133,P1263,2,150,8610
288,O10134,P1103,1,0,3365
289,O10134,P1179,2,0,8676
290,O10134,P1227,2,0,4812
291,O10135,P1049,2,0,6904
292,O10135,P1323,2,0,9728
293,O10135,P1025,2,0,7870
294,O10136,P1374,1,0,2715
295,O10136,P1418,1,50,1146
296,O10136,P1478,1,50,2660
297,O10137,P1267,1,100,1645
298,O10137,P1026,2,100,4584
299,O10138,P1201,1,50,1418
300,O10138,P1314,1,50,2670
301,O10139,P1407,1,100,3728
302,O10139,P1163,2,50,2082
303,O10140,P1098,2,0,4882
304,O10140,P1276,1,0,2249
305,O10140,P1162,2,0,4454
306,O10141,P1183,2,50,8338
307,O10141,P1360,1,0,592
308,O10141,P1171,2,200,4006
309,O10142,P1282,1,0,4849
310,O10143,P1210,2,0,1102
311,O10144,P1044,1,0,2915
312,O10144,P1442,1,100,3936
313,O10144,P1478,1,50,2660
314,O10145,P1285,2,150,3958
315,O10146,P1030,1,50,3874
316,O10146,P1034,2,0,3378
317,O10147,P1373,1,150,3293
318,O10147,P1288,2,0,4874
319,O10148,P1155,1,0,2400
320,O10149,P1169,2,50,3674
321,O10149,P1323,1,0,4864
322,O10149,P1497,2,100,6344
323,O10150,P1405,1,0,1652
324,O10150,P1394,1,0,1940
325,O10151,P1395,1,50,545
326,O10152,P1374,2,50,5330
327,O10152,P1192,2,50,5738
328,O10152,P1242,1,50,1399
329,O10153,P1072,2,50,3474
330,O10153,P1216,1,50,3109
331,O10153,P1443,1,0,3058
332,O10154,P1342,1,100,1022
333,O10155,P1027,1,50,493
334,O10155,P1061,2,0,9016
335,O10156,P1344,1,0,1081
336,O10157,P1293,2,200,1686
337,O10157,P1250,2,150,3246
338,O10158,P1097,1,200,4258
339,O10159,P1445,1,0,3166
340,O10160,P1414,1,150,4560
341,O10161,P1366,2,0,9016
342,O10161,P1099,2,0,7072
343,O10162,P1122,1,0,4154
344,O10162,P1115,2,50,3398
345,O10163,P1488,2,0,4714
346,O10163,P1280,1,50,3877
347,O10163,P1469,1,100,3237
348,O10164,P1364,2,100,3676
349,O10165,P1435,2,0,8634
350,O10165,P1052,2,0,1604
351,O10166,P1017,2,0,2592
352,O10166,P1103,2,100,6530
353,O10167,P1394,2,150,3580
354,O10167,P1411,2,0,6914
355,O10168,P1010,1,50,1662
356,O10169,P1372,2,0,2572
357,O10169,P1250,1,0,1773
358,O10170,P1387,1,150,4836
359,O10170,P1205,2,0,4886
360,O10171,P1295,1,50,4159
361,O10171,P1465,2,0,2792
362,O10171,P1384,1,0,3783
363,O10172,P1433,2,0,7570
364,O10172,P1341,2,0,5342
365,O10172,P1481,2,150,1614
366,O10173,P1382,1,50,608
367,O10173,P1088,1,100,1858
368,O10174,P1090,2,0,7088
369,O10174,P1398,2,50,7224
370,O10174,P1117,2,0,9754
371,O10175,P1211,1,50,4341
372,O10175,P1302,1,100,1526
373,O10175,P1359,2,50,5798
374,O10176,P1338,1,0,1900
375,O10176,P1349,1,0,4848
376,O10177,P1257,2,100,5964
377,O10177,P1054,1,0,1037
378,O10177,P1343,1,150,3672
379,O10178,P1313,1,50,3810
380,O10178,P1119,1,50,1012
381,O10179,P1088,1,0,1958
382,O10179,P1454,2,0,1984
383,O10180,P1104,1,150,627
384,O10181,P1339,1,50,1154
385,O10181,P1451,2,50,3838
386,O10181,P1356,1,0,1333
387,O10182,P1218,2,50,2126
388,O10183,P1494,1,0,4076
389,O10183,P1012,2,50,3780
390,O10184,P1108,2,0,1682
391,O10184,P1149,1,50,2260
392,O10184,P1008,2,50,946
393,O10185,P1404,2,0,3320
394,O10186,P1354,1,150,2599
395,O10186,P1400,2,0,9420
396,O10187,P1033,1,0,524
397,O10187,P1181,1,0,1751
398,O10187,P1050,2,0,1612
399,O10188,P1411,1,50,3407
400,O10188,P1231,2,0,7344
401,O10188,P1236,1,100,1458
402,O10189,P1174,1,0,4121
403,O10189,P1266,1,150,3218
404,O10190,P1104,2,100,1354
405,O10190,P1138,2,100,5246
406,O10190,P1276,1,150,2099
407,O10191,P1374,2,0,5430
408,O10191,P1471,1,0,736
409,O10192,P1174,1,0,4121
410,O10193,P1477,1,50,3048
411,O10193,P1103,1,0,3365
412,O10194,P1141,2,0,2374
413,O10194,P1452,1,50,3457
414,O10194,P1044,2,0,5830
415,O10195,P1304,2,100,1764
416,O10195,P1174,1,100,4021
417,O10195,P1396,1,50,978
418,O10196,P1203,2,100,1384
419,O10196,P1256,1,50,2540
420,O10196,P1000,2,0,4002
421,O10197,P1485,1,0,4630
422,O10197,P1147,1,50,3177
423,O10198,P1020,1,150,577
424,O10198,P1358,2,0,5528
425,O10199,P1193,1,50,2229
426,O10199,P1480,1,150,1324
427,O10199,P1089,2,0,9362
428,O10200,P1310,1,100,2572
429,O10201,P1028,1,0,4580
430,O10202,P1017,2,100,2392
431,O10202,P1383,1,0,4315
432,O10202,P1429,2,150,5530
433,O10203,P1021,1,50,2159
434,O10203,P1387,2,0,9972
435,O10204,P1195,2,0,7034
436,O10204,P1353,1,150,1615
437,O10205,P1100,1,50,1269
438,O10206,P1011,2,100,8118
439,O10206,P1116,1,50,2846
440,O10207,P1146,1,100,436
441,O10207,P1444,1,50,3741
442,O10208,P1242,2,0,2898
443,O10209,P1259,1,0,3308
444,O10209,P1234,1,0,2221
445,O10209,P1465,2,50,2692
446,O10210,P1208,2,0,5636
447,O10210,P1335,1,50,1153
448,O10211,P1447,1,50,1992
449,O10211,P1251,1,0,3546
450,O10212,P1135,2,0,3690
451,O10212,P1128,1,0,3322
452,O10212,P1046,2,0,3230
453,O10213,P1111,2,0,3780
454,O10214,P1454,1,0,992
455,O10215,P1067,2,50,4278
456,O10215,P1266,2,50,6636
457,O10215,P1002,2,50,8444
458,O10216,P1410,2,100,3918
459,O10216,P1174,1,50,4071
460,O10217,P1188,2,50,922
461,O10218,P1495,1,50,4507
462,O10219,P1292,1,200,2667
463,O10220,P1226,1,0,4980
464,O10220,P1384,1,0,3783
465,O10221,P1135,2,100,3490
466,O10221,P1260,1,50,2781
467,O10222,P1002,2,0,8544
468,O10222,P1019,2,0,2368
469,O10223,P1181,2,50,3402
470,O10223,P1054,2,0,2074
471,O10224,P1140,1,100,1452
472,O10225,P1168,1,0,3236
473,O10225,P1008,2,0,1046
474,O10226,P1429,2,0,5830
475,O10227,P1499,1,100,894
476,O10228,P1068,2,0,9040
477,O10229,P1123,2,100,3458
478,O10229,P1383,1,100,4215
479,O10230,P1390,1,100,2860
480,O10230,P1268,2,0,2080
481,O10231,P1202,1,0,2011
482,O10231,P1231,1,150,3522
483,O10232,P1156,1,50,1033
484,O10232,P1196,1,0,1424
485,O10233,P1092,2,100,3554
486,O10234,P1476,2,0,1122
487,O10234,P1126,2,150,3438
488,O10235,P1243,1,0,3529
489,O10235,P1274,1,0,3779
490,O10236,P1357,1,100,3824
491,O10236,P1318,2,100,2368
492,O10236,P1421,1,0,1426
493,O10237,P1033,2,0,1048
494,O10237,P1481,2,0,1914
495,O10238,P1399,1,50,1692
496,O10238,P1481,2,150,1614
497,O10238,P1090,1,50,3494
498,O10239,P1075,2,0,8074
499,O10239,P1177,2,50,2114
500,O10240,P1301,1,0,2169
501,O10240,P1333,1,0,3422
502,O10241,P1243,2,150,6758
503,O10241,P1404,1,50,1610
504,O10242,P1285,2,0,4258
505,O10242,P1143,2,100,8236
506,O10242,P1013,2,0,5784
507,O10243,P1474,1,0,2423
508,O10243,P1412,1,0,4763
509,O10243,P1001,1,150,1689
510,O10244,P1182,2,0,6208
511,O10244,P1003,1,0,3867
512,O10245,P1156,1,50,1033
513,O10245,P1449,1,0,2244
514,O10246,P1091,2,0,6150
515,O10246,P1271,2,50,8288
516,O10247,P1003,2,100,7534
517,O10247,P1166,1,100,3438
518,O10247,P1260,1,0,2831
519,O10248,P1448,2,0,2736
520,O10248,P1097,1,100,4358
521,O10248,P1260,2,150,5362
522,O10249,P1174,2,0,8242
523,O10249,P1261,1,0,4185
524,O10249,P1281,1,150,2269
525,O10250,P1181,2,0,3502
526,O10250,P1476,1,50,511
527,O10250,P1337,2,150,7584
528,O10251,P1020,2,0,1454
529,O10251,P1246,2,50,8200
530,O10251,P1465,2,0,2792
531,O10252,P1418,2,0,2392
532,O10252,P1229,1,150,3075
533,O10252,P1234,1,50,2171
534,O10253,P1266,2,0,6736
535,O10254,P1272,1,150,2313
536,O10254,P1388,1,0,2519
537,O10254,P1135,2,0,3690
538,O10255,P1139,1,100,2907
539,O10255,P1001,1,150,1689
540,O10255,P1127,1,0,818
541,O10256,P1209,1,0,526
542,O10256,P1102,1,50,4858
543,O10257,P1087,2,150,2810
544,O10257,P1276,1,0,2249
545,O10257,P1176,2,0,5092
546,O10258,P1264,1,150,1970
547,O10259,P1169,1,0,1887
548,O10260,P1027,2,0,1086
549,O10260,P1413,1,200,2310
550,O10261,P1295,2,50,8318
551,O10261,P1005,1,50,1661
552,O10262,P1370,2,150,6402
553,O10262,P1484,1,0,4345
554,O10262,P1373,1,100,3343
555,O10263,P1423,1,100,4352
556,O10264,P1082,1,0,4447
557,O10264,P1273,2,150,4970
558,O10264,P1035,1,0,3657
559,O10265,P1072,1,0,1787
560,O10265,P1040,2,0,2778
561,O10265,P1005,1,50,1661
562,O10266,P1419,1,50,2354
563,O10266,P1033,2,0,1048
564,O10267,P1152,1,100,3944
565,O10267,P1266,1,0,3368
566,O10267,P1453,2,0,2648
567,O10268,P1497,2,0,6544
568,O10268,P1413,2,100,4820
569,O10268,P1009,2,100,9436
570,O10269,P1409,1,50,1394
571,O10269,P1222,1,50,4944
572,O10269,P1181,2,150,3202
573,O10270,P1351,2,100,6336
574,O10270,P1424,2,100,830
575,O10271,P1083,1,0,972
576,O10271,P1477,2,50,6096
577,O10271,P1475,2,200,3384
578,O10272,P1164,1,100,747
579,O10273,P1030,1,0,3924
580,O10273,P1472,2,0,7294
581,O10273,P1299,1,150,2313
582,O10274,P1328,1,50,3838
583,O10274,P1020,1,50,677
584,O10275,P1474,1,50,2373
585,O10275,P1472,2,100,7094
586,O10276,P1329,2,50,7970
587,O10276,P1457,1,50,1637
588,O10276,P1108,1,0,841
589,O10277,P1110,1,150,615
590,O10277,P1107,1,0,3878
591,O10278,P1270,1,100,1951
592,O10278,P1304,2,100,1764
593,O10279,P1389,1,150,706
594,O10279,P1341,1,0,2671
595,O10280,P1085,1,200,1061
596,O10281,P1239,2,50,3568
597,O10282,P1082,2,0,8894
598,O10282,P1113,2,0,7340
599,O10283,P1292,2,0,5734
600,O10284,P1386,2,50,1548
601,O10284,P1283,1,100,1436
602,O10284,P1392,2,0,9000
603,O10285,P1367,2,100,8860
604,O10285,P1326,1,50,2693
605,O10286,P1042,2,0,2670
606,O10286,P1408,2,0,7006
607,O10286,P1403,1,100,2874
608,O10287,P1482,2,0,4480
609,O10287,P1145,1,0,4029
610,O10288,P1056,2,50,2730
611,O10289,P1071,1,0,507
612,O10289,P1233,2,100,6038
613,O10289,P1166,1,50,3488
614,O10290,P1450,2,0,2042
615,O10290,P1373,1,50,3393
616,O10291,P1166,1,0,3538
617,O10292,P1442,1,150,3886
618,O10292,P1302,2,0,3252
619,O10293,P1186,1,0,3050
620,O10294,P1115,2,50,3398
621,O10294,P1313,1,50,3810
622,O10295,P1430,2,100,2430
623,O10296,P1201,2,0,2936
624,O10297,P1265,2,100,3988
625,O10297,P1419,1,50,2354
626,O10298,P1184,1,100,1806
627,O10298,P1077,2,50,2744
628,O10298,P1283,1,0,1536
629,O10299,P1470,1,0,1179
630,O10299,P1436,1,0,1357
631,O10300,P1448,2,0,2736
632,O10300,P1259,1,0,3308
633,O10300,P1352,2,50,5818
634,O10301,P1179,1,0,4338
635,O10302,P1142,1,0,3196
636,O10302,P1284,1,0,4511
637,O10303,P1072,1,0,1787
638,O10304,P1124,2,150,6218
639,O10305,P1122,1,0,4154
640,O10306,P1075,1,100,3937
641,O10306,P1201,2,50,2836
642,O10307,P1381,1,0,2582
643,O10308,P1490,1,0,2351
644,O10308,P1082,2,0,8894
645,O10308,P1236,2,0,3116
646,O10309,P1230,2,50,6232
647,O10309,P1363,1,50,452
648,O10310,P1165,2,0,9986
649,O10310,P1059,1,0,1172
650,O10311,P1373,1,50,3393
651,O10312,P1248,2,50,1114
652,O10312,P1476,2,0,1122
653,O10312,P1396,2,100,1856
654,O10313,P1212,1,50,3142
655,O10313,P1147,1,0,3227
656,O10313,P1016,1,0,4012
657,O10314,P1455,2,100,1540
658,O10314,P1166,2,0,7076
659,O10315,P1494,1,0,4076
660,O10315,P1432,2,50,8094
661,O10316,P1063,2,100,9724
662,O10316,P1401,1,150,4421
663,O10317,P1038,2,0,4852
664,O10317,P1045,1,0,3449
665,O10317,P1123,2,50,3558
666,O10318,P1335,2,100,2206
667,O10319,P1192,1,0,2919
668,O10319,P1270,2,50,4002
669,O10319,P1261,1,0,4185
670,O10320,P1278,2,0,9244
671,O10321,P1009,2,0,9636
672,O10321,P1288,1,0,2437
673,O10321,P1487,1,0,779
674,O10322,P1337,1,0,3942
675,O10323,P1285,2,0,4258
676,O10323,P1413,1,150,2360
677,O10323,P1160,2,0,6654
678,O10324,P1352,1,150,2809
679,O10324,P1339,1,0,1204
680,O10324,P1018,1,0,4074
681,O10325,P1170,1,0,2118
682,O10325,P1258,2,0,1918
683,O10326,P1231,1,0,3672
684,O10326,P1324,2,0,5794
685,O10326,P1343,2,200,7244
686,O10327,P1420,1,0,4174
687,O10327,P1125,2,0,5130
688,O10328,P1155,1,150,2250
689,O10329,P1262,2,0,9634
690,O10329,P1230,2,100,6132
691,O10329,P1333,1,0,3422
692,O10330,P1152,2,0,8088
693,O10330,P1332,2,0,3098
694,O10330,P1204,1,150,1938
695,O10331,P1013,1,50,2842
696,O10332,P1098,1,50,2391
697,O10332,P1078,2,150,3228
698,O10332,P1129,1,50,2779
699,O10333,P1226,1,0,4980
700,O10333,P1180,1,100,3880
701,O10334,P1291,1,100,1141
702,O10334,P1310,1,50,2622
703,O10335,P1142,2,50,6292
704,O10335,P1174,2,150,7942
705,O10336,P1240,2,150,8794
706,O10337,P1449,2,50,4388
707,O10338,P1447,1,0,2042
708,O10338,P1390,1,0,2960
709,O10338,P1367,2,50,8960
710,O10339,P1266,1,150,3218
711,O10339,P1378,2,50,7394
712,O10339,P1049,2,50,6804
713,O10340,P1009,2,50,9536
714,O10340,P1438,2,50,4114
715,O10341,P1212,2,0,6384
716,O10341,P1149,2,50,4520
717,O10342,P1019,1,0,1184
718,O10343,P1153,1,0,1617
719,O10344,P1155,2,0,4800
720,O10344,P1017,2,0,2592
721,O10345,P1324,1,50,2847
722,O10346,P1349,1,50,4798
723,O10346,P1062,2,100,3652
724,O10347,P1195,1,0,3517
725,O10348,P1050,1,100,706
726,O10349,P1388,1,0,2519
727,O10349,P1367,1,0,4530
728,O10350,P1095,2,0,4500
729,O10351,P1434,1,0,3592
730,O10352,P1233,2,0,6238
731,O10353,P1443,2,50,6016
732,O10353,P1391,2,0,9418
733,O10354,P1262,2,0,9634
734,O10354,P1038,1,0,2426
735,O10355,P1158,1,0,916
736,O10355,P1386,1,0,824
737,O10355,P1019,2,100,2168
738,O10356,P1269,2,0,9124
739,O10356,P1124,2,0,6518
740,O10356,P1352,1,50,2909
741,O10357,P1487,2,150,1258
742,O10357,P1403,1,0,2974
743,O10358,P1185,2,100,9166
744,O10359,P1189,1,0,3565
745,O10359,P1268,2,0,2080
746,O10360,P1353,2,0,3530
747,O10360,P1182,1,200,2904
748,O10361,P1284,1,150,4361
749,O10361,P1140,1,150,1402
750,O10362,P1270,1,0,2051
751,O10362,P1262,2,50,9534
752,O10363,P1389,1,100,756
753,O10363,P1271,2,0,8388
754,O10363,P1110,1,200,565
755,O10364,P1105,1,0,902
756,O10364,P1240,1,100,4447
757,O10364,P1024,2,100,8660
758,O10365,P1238,2,0,1418
759,O10365,P1125,2,100,4930
760,O10365,P1248,1,100,507
761,O10366,P1451,2,0,3938
762,O10367,P1313,2,0,7720
763,O10367,P1308,2,0,2288
764,O10368,P1299,1,150,2313
765,O10368,P1292,2,0,5734
766,O10368,P1254,2,100,5136
767,O10369,P1175,1,100,1126
768,O10370,P1359,2,0,5898
769,O10371,P1199,1,0,4098
770,O10371,P1224,2,100,4744
771,O10372,P1054,2,100,1874
772,O10372,P1415,1,0,3533
773,O10373,P1212,2,100,6184
774,O10374,P1160,2,100,6454
775,O10374,P1072,2,0,3574
776,O10374,P1054,1,0,1037
777,O10375,P1055,2,50,3908
778,O10375,P1420,1,0,4174
779,O10376,P1060,1,150,4140
780,O10376,P1039,1,0,733
781,O10376,P1201,2,0,2936
782,O10377,P1145,2,0,8058
783,O10377,P1215,2,100,5800
784,O10377,P1149,1,200,2110
785,O10378,P1428,2,0,6538
786,O10379,P1126,2,0,3738
787,O10380,P1396,1,100,928
788,O10380,P1210,2,0,1102
789,O10380,P1215,1,0,3000
790,O10381,P1390,2,0,5920
791,O10381,P1297,2,0,1562
792,O10381,P1081,2,0,9806
793,O10382,P1240,2,0,9094
794,O10382,P1484,1,150,4195
795,O10382,P1373,1,100,3343
796,O10383,P1347,1,50,3789
797,O10384,P1231,1,0,3672
798,O10385,P1324,2,0,5794
799,O10386,P1213,2,100,3850
800,O10386,P1391,1,200,4509
801,O10386,P1177,1,0,1107
802,O10387,P1306,1,0,4035
803,O10387,P1474,1,0,2423
804,O10387,P1291,1,200,1041
805,O10388,P1106,1,50,4869
806,O10388,P1254,2,50,5236
807,O10389,P1180,1,0,3980
808,O10390,P1263,2,150,8610
809,O10391,P1418,2,0,2392
810,O10391,P1486,1,0,3924
811,O10391,P1349,2,0,9696
812,O10392,P1013,1,0,2892
813,O10392,P1047,2,150,5594
814,O10392,P1452,1,50,3457
815,O10393,P1493,2,50,8256
816,O10394,P1437,2,0,7792
817,O10394,P1484,1,0,4345
818,O10394,P1088,2,0,3916
819,O10395,P1172,1,200,2722
820,O10396,P1394,1,50,1890
821,O10396,P1373,2,0,6886
822,O10396,P1403,1,0,2974
823,O10397,P1410,1,50,2009
