session_id,customer_id,device_type,traffic_source,session_start,pages_viewed,time_spent,purchase_made
S10043,C2929,desktop,social,2025-02-26 12:32:19,4,19,no
S10044,C1597,mobile,social,2025-08-22 07:35:57,7,15,yes
S10045,C1783,desktop,search,2025-07-06 05:59:36,6,28,no
S10046,C1832,desktop,ads,2024-12-01 02:45:14,5,22,no
S10047,C3711,mobile,search,2025-06-15 21:50:33,9,5,yes
S10048,C3684,desktop,social,2024-12-07 09:14:32,1,12,yes
S10049,C3289,mobile,social,2024-11-11 19:49:49,4,21,yes
S10050,C3623,mobile,social,2025-07-21 11:27:10,9,20,no
S10051,C2643,desktop,social,2024-12-13 21:14:18,3,18,no
S10052,C3897,desktop,social,2025-01-06 11:59:41,7,27,yes
S10053,C2240,desktop,social,2025-10-12 12:43:18,7,11,no
S10054,C3928,mobile,social,2025-08-06 18:08:33,4,17,yes
S10055,C3965,desktop,social,2025-10-15 20:30:16,2,28,no
S10056,C1698,desktop,social,2024-11-21 12:44:47,6,11,no
S10057,C3739,desktop,search,2025-01-01 02:00:14,5,23,no
S10058,C2056,mobile,social,2024-11-25 15:03:48,6,4,no
S10059,C3352,desktop,social,2025-07-26 22:56:15,2,24,yes
S10060,C2602,desktop,direct,2024-11-25 13:57:50,6,1,no
S10061,C1431,mobile,social,2024-10-22 12:07:24,8,23,no
S10062,C1705,mobile,social,2025-04-07 03:53:18,3,20,no
S10063,C1761,mobile,social,2025-08-24 10:30:01,2,27,no
S10064,C3333,mobile,social,2025-07-14 06:35:09,3,2,yes
S10065,C2277,desktop,search,2025-01-19 12:44:41,3,27,yes
S10066,C3583,desktop,social,2025-01-10 15:42:17,1,28,yes
S10067,C1176,desktop,social,2024-11-09 10:20:32,7,11,no
S10068,C2650,desktop,ads,2025-07-26 11:03:06,8,23,yes
S10069,C2643,mobile,search,2024-11-20 20:29:40,8,10,no
S10070,C2996,mobile,search,2025-03-20 06:29:58,2,29,no
S10071,C2718,mobile,direct,2025-02-22 10:42:43,6,9,no
S10072,C1995,mobile,social,2025-06-20 21:57:14,6,6,no
S10073,C2958,mobile,social,2025-05-14 14:04:01,2,20,yes
S10074,C2278,mobile,search,2025-01-03 19:50:35,4,14,no
S10075,C1628,mobile,social,2025-04-23 21:22:26,7,25,no
S10076,C2612,mobile,social,2025-09-03 12:26:54,4,11,yes
S10077,C1914,mobile,search,2025-01-05 15:17:18,7,1,no
S10078,C1202,desktop,ads,2025-07-23 01:34:28,8,7,no
S10079,C2160,mobile,social,2025-05-01 08:51:19,3,10,no
S10080,C3151,desktop,social,2025-06-13 03:35:50,1,7,no
S10081,C1172,mobile,social,2025-07-22 07:16:19,8,26,no
S10082,C2768,desktop,search,2025-01-01 06:34:18,3,15,yes
S10083,C3245,desktop,direct,2025-04-21 05:40:47,5,9,yes
S10084,C1295,mobile,search,2025-02-09 21:16:03,8,12,yes
S10085,C2196,mobile,direct,2025-08-01 02:59:56,3,5,yes
S10086,C3469,desktop,direct,2025-07-10 14:34:59,6,8,no
S10087,C2989,mobile,search,2025-06-07 20:24:34,2,28,yes
S10088,C1308,mobile,social,2025-09-21 22:46:56,4,7,no
S10089,C2696,mobile,ads,2025-09-20 08:28:51,2,6,no
S10090,C1101,desktop,social,2024-11-13 19:21:54,2,10,no
S10091,C1482,desktop,search,2025-04-10 20:52:21,3,25,no
S10092,C2596,mobile,direct,2024-12-31 19:58:25,8,4,no
S10093,C3374,desktop,social,2025-05-06 03:21:03,4,24,no
S10094,C1091,desktop,search,2024-10-23 11:09:59,4,25,yes
S10095,C3416,mobile,ads,2024-11-20 21:51:30,5,18,no
S10096,C3293,mobile,social,2024-12-28 07:22:14,3,2,no
S10097,C3621,mobile,direct,2025-01-05 19:12:36,9,26,yes
S10098,C2609,desktop,social,2025-01-31 06:05:50,8,15,no
S10099,C3947,desktop,search,2024-12-15 21:29:57,3,24,yes
S10100,C2879,mobile,search,2025-09-27 01:31:15,8,21,no
S10101,C2314,mobile,direct,2025-05-19 12:06:46,9,19,no
S10102,C3577,mobile,social,2025-06-01 11:45:20,2,19,no
S10103,C3522,desktop,social,2025-01-02 13:09:00,7,20,yes
S10104,C1140,mobile,direct,2025-07-19 20:29:12,5,13,no
S10105,C3407,mobile,ads,2024-12-08 04:10:52,6,5,yes
S10106,C1536,desktop,search,2025-07-20 23:31:36,8,18,no
S10107,C1501,tablet,direct,2025-08-12 19:34:04,1,12,yes
S10108,C2559,mobile,search,2024-11-19 10:38:23,6,4,yes
S10109,C3907,mobile,ads,2025-01-02 02:27:31,7,21,yes
S10110,C3858,desktop,direct,2025-01-01 15:44:08,5,9,no
S10111,C2536,mobile,social,2025-09-15 13:59:55,4,8,no
S10112,C2254,mobile,direct,2025-02-22 20:02:14,5,11,no
S10113,C1094,desktop,search,2025-08-10 17:25:12,2,26,no
S10114,C1488,tablet,ads,2025-01-17 10:47:02,5,15,yes
S10115,C2090,mobile,social,2024-12-23 02:13:07,3,5,no
S10116,C2076,mobile,social,2025-03-23 06:53:36,6,1,no
S10117,C2519,desktop,direct,2025-06-24 17:43:04,9,19,no
S10118,C2665,desktop,social,2025-09-10 16:46:57,3,5,no
S10119,C3647,mobile,social,2025-06-08 01:02:02,5,13,no
S10120,C2425,mobile,search,2025-02-13 05:56:51,7,19,no
S10121,C2866,desktop,ads,2025-06-11 15:12:38,2,11,no
S10122,C2779,mobile,social,2025-03-30 03:04:04,1,17,yes
S10123,C2441,mobile,social,2025-05-05 18:40:59,5,1,yes
S10124,C1217,mobile,social,2025-06-26 19:05:57,7,28,yes
S10125,C3749,desktop,search,2025-02-08 20:28:13,4,11,no
S10126,C3591,mobile,direct,2025-01-13 18:38:07,6,4,yes
S10127,C3438,mobile,search,2025-04-04 15:48:24,2,9,yes
S10128,C1731,mobile,social,2025-01-26 11:20:34,5,7,yes
S10129,C2923,mobile,social,2025-09-06 04:55:31,7,8,yes
S10130,C1640,mobile,social,2025-03-03 21:42:30,2,10,yes
S10131,C1606,desktop,social,2025-08-02 15:08:54,6,9,no
S10132,C1463,tablet,search,2025-01-22 12:28:00,8,28,yes
S10133,C3528,desktop,social,2025-05-15 01:24:49,9,22,no
S10134,C3442,tablet,search,2024-10-23 17:24:29,9,29,yes
S10135,C3971,mobile,direct,2025-07-02 07:53:33,8,4,no
S10136,C1022,mobile,direct,2025-10-01 20:54:20,3,13,no
S10137,C2446,mobile,search,2025-07-13 11:17:32,2,11,yes
S10138,C3604,mobile,social,2025-01-26 18:02:19,6,29,no
S10139,C3409,desktop,direct,2025-02-07 07:37:02,3,5,no
S10140,C2993,mobile,direct,2025-08-09 22:52:47,4,4,yes
S10141,C3912,mobile,social,2024-12-22 15:24:44,4,13,yes
S10142,C3355,desktop,direct,2024-11-15 02:56:03,5,1,no
S10143,C2747,mobile,ads,2024-11-13 22:39:26,9,25,yes
S10144,C3208,mobile,social,2024-11-14 09:30:04,6,10,no
S10145,C3081,mobile,search,2025-04-30 20:01:04,8,20,yes
S10146,C1659,desktop,search,2025-03-03 16:42:52,7,10,no
S10147,C2234,mobile,social,2025-10-06 14:02:03,5,24,no
S10148,C3487,tablet,search,2025-08-01 15:34:36,5,28,yes
S10149,C1747,mobile,search,2024-11-13 11:19:38,9,22,yes
S10150,C3866,desktop,social,2025-06-18 17:41:56,8,1,yes
S10151,C2456,mobile,search,2025-08-10 11:29:27,8,4,no
S10152,C3291,desktop,social,2025-09-03 13:52:13,3,7,yes
S10153,C1942,mobile,ads,2025-04-06 01:05:43,4,14,no
S10154,C2523,mobile,search,2024-11-21 01:31:27,7,1,no
S10155,C1179,mobile,social,2025-07-09 18:46:59,3,24,no
S10156,C3695,desktop,direct,2025-08-13 21:21:39,7,22,no
S10157,C2270,mobile,ads,2025-10-05 00:15:01,9,2,yes
S10158,C1264,desktop,ads,2025-07-26 02:56:51,5,14,no
S10159,C1560,mobile,direct,2025-04-12 04:42:32,1,25,no
S10160,C1531,mobile,search,2024-10-25 16:09:34,5,25,no
S10161,C3602,mobile,social,2025-08-06 01:24:30,1,24,no
S10162,C2619,desktop,search,2025-07-09 23:07:39,4,8,no
S10163,C1643,mobile,search,2024-11-24 06:42:01,4,26,no
S10164,C1288,mobile,social,2025-02-21 16:00:22,4,16,no
S10165,C2118,desktop,social,2025-06-06 10:10:14,6,15,yes
S10166,C1810,tablet,social,2025-08-16 14:09:39,2,15,no
S10167,C3849,tablet,ads,2025-10-11 21:10:03,6,16,yes
S10168,C3665,tablet,social,2025-10-11 03:51:42,6,20,no
S10169,C2458,mobile,search,2025-03-10 09:33:25,5,26,no
S10170,C2563,mobile,search,2025-07-19 02:51:39,8,13,no
S10171,C2184,tablet,direct,2025-07-12 12:27:16,9,4,no
S10172,C1878,mobile,social,2025-06-13 04:03:15,7,9,no
S10173,C1184,desktop,search,2025-07-11 09:33:43,3,24,yes
S10174,C2121,desktop,search,2024-11-15 14:21:23,3,18,no
S10175,C3699,mobile,search,2025-05-30 01:39:37,3,26,no
S10176,C3057,mobile,search,2025-01-30 22:24:51,4,20,no
S10177,C3909,desktop,social,2025-07-30 09:50:26,2,13,no
S10178,C3128,mobile,search,2025-09-12 03:07:38,7,15,no
S10179,C1767,desktop,social,2025-02-21 22:12:47,9,23,no
S10180,C3186,mobile,search,2025-04-14 01:57:37,8,7,no
S10181,C2322,mobile,direct,2025-03-09 02:10:19,5,25,no
S10182,C2587,desktop,direct,2025-08-05 06:03:29,2,12,no
S10183,C3267,mobile,social,2025-08-31 23:03:59,5,19,yes
S10184,C3989,mobile,search,2025-04-25 14:25:43,1,26,yes
S10185,C2738,mobile,direct,2025-03-13 21:06:14,5,11,no
S10186,C1839,mobile,direct,2025-05-03 01:48:56,4,15,no
S10187,C1612,mobile,social,2025-02-14 14:49:40,5,28,no
S10188,C3896,mobile,social,2025-08-13 11:50:29,9,20,yes
S10189,C2867,desktop,direct,2025-04-28 22:56:48,6,24,no
S10190,C1476,desktop,search,2025-02-19 18:07:01,9,9,no
S10191,C1451,mobile,ads,2025-05-21 00:38:08,1,18,no
S10192,C3577,mobile,search,2025-08-06 07:56:20,9,15,no
S10193,C3308,mobile,social,2025-01-02 21:54:23,1,19,no
S10194,C1035,mobile,search,2025-01-17 14:28:33,2,9,no
S10195,C2627,mobile,direct,2025-06-06 01:41:36,9,19,yes
S10196,C3123,tablet,direct,2024-12-26 05:59:24,2,22,yes
S10197,C1582,mobile,ads,2024-11-06 14:18:33,4,7,no
S10198,C3256,desktop,search,2025-07-16 07:38:46,6,19,yes
S10199,C1440,desktop,ads,2025-03-07 01:32:27,1,16,no
S10200,C1792,desktop,search,2025-03-29 03:18:14,4,24,no
S10201,C1296,mobile,search,2025-04-19 13:55:16,4,16,no
S10202,C1636,mobile,social,2025-09-27 18:16:46,8,17,yes
S10203,C2250,mobile,search,2025-04-18 07:07:12,5,13,no
S10204,C1363,mobile,search,2025-02-23 23:38:53,2,26,no
S10205,C2233,tablet,search,2025-10-14 15:27:43,9,13,no
S10206,C1523,desktop,search,2025-08-26 05:55:28,9,23,no
S10207,C3641,mobile,search,2025-09-14 18:06:06,3,4,no
S10208,C3720,mobile,ads,2025-03-26 14:48:22,3,28,no
S10209,C2718,desktop,social,2025-04-19 01:36:32,8,28,yes
S10210,C1129,tablet,search,2025-09-23 09:01:39,1,19,no
S10211,C1528,mobile,search,2025-10-05 04:26:36,7,26,yes
S10212,C1767,mobile,social,2025-04-19 08:46:26,1,19,no
S10213,C3606,mobile,social,2025-04-14 14:54:39,8,19,no
S10214,C1545,mobile,social,2024-12-19 07:26:50,5,6,no
S10215,C2756,mobile,ads,2024-12-15 04:37:47,5,29,yes
S10216,C1428,mobile,direct,2025-08-03 13:40:03,8,1,yes
S10217,C1048,mobile,social,2025-08-08 11:58:25,7,5,no
S10218,C2992,mobile,social,2025-03-19 18:02:23,3,3,yes
S10219,C3798,mobile,direct,2025-04-01 23:15:01,2,20,no
S10220,C1734,desktop,direct,2024-10-30 12:29:23,3,20,no
S10221,C1980,mobile,direct,2025-09-25 04:38:34,3,27,no
S10222,C2812,mobile,ads,2024-12-14 03:55:19,6,21,yes
S10223,C2129,desktop,search,2025-08-23 03:29:11,9,24,yes
S10224,C2854,mobile,social,2025-02-21 00:23:54,5,5,no
S10225,C1426,mobile,direct,2025-03-18 03:45:41,9,11,no
S10226,C1585,mobile,search,2025-09-23 23:38:38,5,5,no
S10227,C1988,mobile,direct,2025-06-23 12:47:15,1,15,no
S10228,C2721,desktop,ads,2024-12-18 00:40:49,4,26,no
S10229,C2975,desktop,search,2025-03-25 03:10:09,3,19,no
S10230,C1996,mobile,social,2025-03-12 00:59:10,6,4,no
S10231,C1628,mobile,ads,2024-10-26 10:20:46,7,18,no
S10232,C2495,mobile,search,2025-04-07 17:02:53,6,29,no
S10233,C2878,mobile,social,2025-08-24 08:28:19,1,25,yes
S10234,C2959,tablet,search,2025-09-03 11:05:10,2,15,no
S10235,C1303,mobile,social,2025-07-05 00:29:02,8,4,no
S10236,C3241,desktop,social,2025-10-07 14:54:35,7,3,no
S10237,C2173,tablet,social,2024-12-27 02:44:50,3,20,no
S10238,C2459,mobile,social,2024-12-18 16:06:13,7,6,no
S10239,C1156,mobile,social,2025-06-08 06:53:46,9,14,yes
S10240,C1690,desktop,social,2024-12-31 10:28:59,4,10,no
S10241,C3074,desktop,ads,2025-01-13 06:51:00,3,12,no
S10242,C2057,desktop,search,2024-11-26 20:21:07,9,21,no
S10243,C3608,mobile,search,2024-10-27 09:04:52,1,29,no
S10244,C3041,desktop,social,2025-03-21 23:25:25,5,13,no
S10245,C2004,mobile,direct,2025-04-22 10:22:00,2,13,no
S10246,C2916,mobile,search,2024-12-18 05:29:20,5,26,yes
S10247,C2166,mobile,social,2025-02-03 05:11:59,4,12,no
S10248,C3296,mobile,social,2025-03-01 00:19:37,2,26,no
S10249,C3153,desktop,social,2025-01-05 19:32:43,9,6,no
S10250,C3824,desktop,social,2024-10-29 10:23:59,3,18,no
S10251,C2036,desktop,social,2025-05-02 03:42:08,6,21,no
S10252,C1606,desktop,ads,2025-03-22 08:11:15,2,19,no
S10253,C1188,mobile,social,2024-12-21 11:56:11,4,27,no
S10254,C3135,mobile,direct,2025-02-15 21:21:09,1,1,yes
S10255,C1430,mobile,social,2025-09-08 06:24:51,8,19,no
S10256,C1653,desktop,social,2025-09-17 14:27:02,6,19,yes
S10257,C2495,desktop,search,2025-05-22 08:26:07,2,28,no
S10258,C1035,desktop,social,2025-02-05 20:23:22,2,5,yes
S10259,C2281,mobile,search,2025-01-17 11:00:19,3,17,no
S10260,C3867,mobile,direct,2025-01-02 18:44:49,1,16,no
S10261,C2635,desktop,direct,2025-04-27 23:09:14,5,22,yes
S10262,C2538,mobile,search,2025-06-13 16:20:25,2,22,no
S10263,C1858,mobile,social,2025-07-29 01:57:59,8,14,yes
S10264,C3055,mobile,search,2025-05-02 20:36:51,2,12,no
S10265,C1411,mobile,search,2025-04-07 02:50:02,6,26,no
S10266,C3772,desktop,search,2025-04-07 23:49:04,8,29,yes
S10267,C3304,mobile,search,2025-09-16 17:46:53,2,24,no
S10268,C2735,mobile,social,2024-12-22 01:57:28,6,24,yes
S10269,C2157,mobile,direct,2025-04-28 06:40:45,2,7,yes
S10270,C1576,mobile,social,2025-07-06 13:55:35,7,15,no
S10271,C2231,mobile,social,2024-11-13 05:19:43,9,9,no
S10272,C2666,mobile,social,2025-03-07 05:57:46,8,29,no
S10273,C2063,desktop,social,2024-12-01 04:25:12,6,12,no
S10274,C2204,mobile,ads,2024-11-15 23:55:52,1,9,no
S10275,C2897,mobile,social,2025-02-23 13:31:57,3,28,no
S10276,C2188,mobile,social,2025-07-22 04:56:34,5,15,yes
S10277,C2010,desktop,search,2025-04-24 03:29:23,1,27,no
S10278,C2750,mobile,search,2025-06-14 01:35:33,1,2,no
S10279,C1492,mobile,social,2025-02-10 08:59:47,9,6,no
S10280,C2828,mobile,social,2024-12-14 22:59:24,4,20,no
S10281,C1372,mobile,social,2025-01-20 08:06:02,8,16,no
S10282,C3677,tablet,search,2025-05-10 11:32:24,6,14,yes
S10283,C3104,desktop,social,2025-04-30 22:53:37,9,4,no
S10284,C2879,mobile,social,2025-08-29 02:37:18,2,19,no
S10285,C1334,mobile,social,2025-01-13 01:21:05,9,4,no
S10286,C3348,mobile,search,2025-03-31 16:56:30,3,2,yes
S10287,C3870,desktop,ads,2025-04-29 12:10:36,2,14,no
S10288,C2761,mobile,social,2024-10-26 01:11:17,6,28,yes
S10289,C1305,mobile,social,2025-02-17 15:09:39,2,27,yes
S10290,C3438,desktop,search,2025-06-23 06:24:29,1,24,yes
S10291,C1227,mobile,search,2024-12-21 14:36:10,5,18,no
S10292,C1170,desktop,search,2025-03-01 12:07:13,5,8,no
S10293,C1237,mobile,social,2025-06-22 20:37:31,5,25,no
S10294,C1777,mobile,search,2025-02-18 15:26:03,9,17,no
S10295,C2171,mobile,social,2025-07-13 16:12:00,7,27,yes
S10296,C1103,desktop,direct,2025-06-18 04:58:28,3,27,no
S10297,C3677,mobile,ads,2025-04-05 14:52:02,8,25,no
S10298,C3576,mobile,direct,2025-06-15 13:05:45,1,5,no
S10299,C3789,mobile,direct,2024-12-07 08:01:16,5,23,yes
S10300,C3199,desktop,social,2025-06-10 16:29:08,4,15,no
S10301,C3592,desktop,direct,2024-12-10 06:40:42,1,19,no
S10302,C3669,tablet,ads,2025-05-14 16:53:36,9,26,no
S10303,C2596,mobile,search,2025-02-07 11:47:34,8,26,yes
S10304,C1749,mobile,search,2025-03-02 11:34:41,8,5,yes
S10305,C1009,desktop,social,2025-07-29 11:32:38,9,25,no
S10306,C2744,mobile,social,2025-03-15 00:14:21,8,28,no
S10307,C2371,mobile,social,2025-08-30 11:15:53,6,19,yes
S10308,C3823,mobile,search,2025-07-15 09:44:29,5,2,yes
S10309,C1160,desktop,ads,2025-09-21 14:17:39,6,17,yes
S10310,C3617,tablet,direct,2024-12-09 18:36:44,8,6,no
S10311,C1133,desktop,direct,2025-03-13 12:56:25,3,17,no
S10312,C1828,mobile,search,2025-05-28 13:33:26,9,25,no
S10313,C1561,mobile,search,2025-04-22 21:52:33,9,22,no
S10314,C3240,mobile,direct,2024-11-14 12:41:20,3,3,yes
S10315,C1084,tablet,search,2024-10-27 21:23:18,7,29,no
S10316,C1711,desktop,search,2025-04-12 15:23:32,7,12,no
S10317,C2344,mobile,ads,2025-03-13 17:03:02,9,24,no
S10318,C1352,mobile,social,2025-03-31 23:02:54,4,28,no
S10319,C1723,desktop,direct,2025-01-24 14:13:53,1,10,no
S10320,C2053,mobile,social,2025-01-10 08:35:33,9,25,no
S10321,C3587,desktop,search,2025-02-24 16:43:53,3,9,yes
S10322,C2894,desktop,social,2025-07-15 07:34:21,2,24,no
S10323,C1879,desktop,ads,2025-01-19 16:07:28,2,4,yes
S10324,C2895,tablet,social,2025-10-09 11:29:53,7,6,no
S10325,C2487,desktop,social,2025-09-24 14:46:26,4,26,no
S10326,C1293,desktop,social,2025-10-06 12:44:06,3,27,no
S10327,C3104,mobile,social,2025-02-19 09:22:39,9,15,no
S10328,C2724,mobile,direct,2025-06-24 04:25:52,5,2,no
S10329,C1347,mobile,search,2025-10-11 15:37:02,1,28,no
S10330,C2687,mobile,search,2025-10-06 06:04:45,2,18,no
S10331,C2061,desktop,social,2025-04-23 22:42:44,1,24,yes
S10332,C1148,mobile,search,2025-08-22 13:53:10,4,21,yes
S10333,C2617,mobile,social,2025-02-06 23:03:46,6,11,yes
S10334,C2898,mobile,search,2025-05-24 13:15:24,6,9,no
S10335,C2068,mobile,ads,2025-03-02 08:24:35,3,28,yes
S10336,C1363,tablet,ads,2025-06-02 04:23:59,1,23,no
S10337,C3363,desktop,social,2025-08-25 07:14:29,7,28,yes
S10338,C1329,mobile,search,2025-02-26 14:01:51,3,10,no
S10339,C1947,desktop,direct,2025-07-19 05:13:28,8,8,no
S10340,C1516,mobile,social,2025-01-04 12:03:12,4,13,yes
S10341,C2787,desktop,social,2025-10-06 06:13:36,3,24,no
S10342,C2519,mobile,social,2024-12-09 09:17:07,1,29,yes
S10343,C1188,mobile,search,2025-02-23 00:01:12,6,20,no
S10344,C1361,desktop,search,2025-08-20 13:18:57,1,5,yes
S10345,C3140,mobile,direct,2025-06-23 17:20:33,9,6,yes
S10346,C2951,mobile,ads,2025-05-31 06:18:38,3,7,no
S10347,C2412,desktop,ads,2025-10-09 23:00:24,7,7,yes
S10348,C3093,mobile,social,2025-01-17 22:04:22,6,11,no
S10349,C3439,tablet,search,2025-07-23 00:20:14,6,19,no
S10350,C2901,mobile,social,2025-06-08 05:56:31,8,25,no
S10351,C1076,desktop,ads,2025-06-14 16:13:15,1,29,no
S10352,C2189,mobile,social,2025-01-21 01:29:17,7,21,no
S10353,C1137,mobile,social,2025-09-01 21:01:51,9,23,no
S10354,C1457,mobile,social,2025-09-04 08:04:41,5,20,yes
S10355,C2756,desktop,search,2025-01-25 18:05:34,6,29,no
S10356,C3251,desktop,direct,2025-04-28 18:17:27,5,23,no
S10357,C1777,mobile,social,2025-05-27 18:38:22,3,6,no
S10358,C2402,tablet,social,2025-04-21 10:43:56,5,23,no
S10359,C2448,desktop,search,2025-10-01 20:54:53,2,4,no
S10360,C1963,tablet,search,2024-10-28 13:07:02,6,27,no
S10361,C2541,desktop,social,2025-02-19 17:58:50,6,15,yes
S10362,C2474,desktop,social,2025-05-07 10:49:05,7,11,yes
S10363,C2037,desktop,search,2025-09-28 01:18:10,9,11,yes
S10364,C1826,mobile,social,2024-11-27 03:12:58,6,1,no
S10365,C1735,tablet,ads,2025-03-19 04:47:48,3,26,yes
S10366,C2178,desktop,direct,2025-08-08 08:37:14,7,8,yes
S10367,C1517,tablet,social,2024-12-17 15:05:40,4,8,no
S10368,C2550,mobile,social,2025-06-20 04:45:35,8,6,yes
S10369,C1400,desktop,search,2025-02-22 22:21:45,8,26,no
S10370,C1275,mobile,direct,2024-11-21 14:09:49,4,25,no
S10371,C1852,mobile,search,2025-05-14 13:09:15,9,11,no
S10372,C3511,mobile,social,2025-04-29 16:13:05,3,16,yes
S10373,C1764,mobile,direct,2025-04-18 16:53:52,4,20,no
S10374,C2992,desktop,search,2025-06-12 00:57:30,9,4,no
S10375,C2890,mobile,search,2025-10-05 16:56:32,2,12,no
S10376,C3612,mobile,search,2025-10-02 00:12:35,7,14,no
S10377,C2375,mobile,social,2025-07-30 16:09:32,3,18,yes
S10378,C1964,desktop,direct,2025-02-01 07:41:21,6,26,no
S10379,C3992,mobile,social,2024-11-16 00:06:42,8,24,no
S10380,C3169,mobile,search,2025-04-13 13:49:28,1,27,yes
S10381,C3828,mobile,direct,2025-03-21 07:26:14,4,12,no
S10382,C3923,mobile,search,2025-08-18 22:31:27,7,7,no
S10383,C3263,tablet,direct,2025-01-04 00:54:19,3,4,no
S10384,C2437,desktop,search,2025-08-24 07:36:00,5,9,no
S10385,C2897,mobile,direct,2025-08-16 00:44:07,7,27,no
S10386,C1753,mobile,search,2025-02-05 06:47:18,8,7,no
S10387,C3679,mobile,search,2025-07-24 11:46:52,2,29,no
S10388,C3465,mobile,social,2024-12-15 13:57:17,5,27,no
S10389,C2125,mobile,social,2025-03-11 07:01:10,4,12,yes
S10390,C2537,mobile,social,2025-09-15 06:08:11,3,25,no
S10391,C1996,desktop,direct,2025-08-19 01:33:47,2,28,yes
S10392,C3313,mobile,search,2024-11-12 22:26:21,9,6,no
S10393,C1400,mobile,social,2025-04-22 23:57:46,1,15,no
S10394,C3650,desktop,direct,2025-01-24 18:39:57,9,22,no
S10395,C2982,desktop,social,2025-01-15 17:56:19,6,28,yes
S10396,C1946,desktop,social,2025-06-23 20:57:35,1,10,no
S10397,C2088,mobile,direct,2024-10-22 04:46:46,1,12,no
S10398,C1777,mobile,social,2025-02-25 02:10:49,4,8,yes
S10399,C2639,mobile,search,2025-03-08 08:03:17,4,10,no
S10400,C2045,desktop,search,2025-09-06 08:21:26,3,4,no
S10401,C2157,mobile,social,2025-06-19 01:13:19,6,20,yes
S10402,C1682,mobile,social,2025-04-26 10:02:32,2,7,no
S10403,C2896,mobile,social,2025-05-27 05:24:10,8,15,no
S10404,C2107,desktop,search,2024-12-16 18:15:37,5,28,no
S10405,C1985,tablet,social,2025-08-21 08:47:17,5,28,no
S10406,C1574,tablet,search,2025-02-03 22:36:22,7,18,no
S10407,C1640,mobile,search,2025-02-22 07:16:12,3,16,yes
S10408,C1044,desktop,social,2025-04-27 06:01:53,4,25,yes
S10409,C1706,desktop,social,2025-02-20 00:34:55,1,9,no
S10410,C3385,tablet,social,2025-06-12 21:11:45,5,13,yes
S10411,C1567,desktop,direct,2025-09-29 00:28:04,9,12,no
S10412,C3138,desktop,search,2025-05-17 07:05:40,2,29,no
S10413,C2092,mobile,search,2025-01-06 17:00:00,7,19,no
